icpsr,bioname,congress,chamber,twitter
21738,"MURPHY, Stephanie",117,House,RepStephMurphy
21736,"MCEACHIN, Aston Donald",117,House,RepMcEachin
21735,"MAST, Brian Jeffery",117,House,RepBrianMast
21734,"MARSHALL, Roger Wayne",117,Senate,RogerMarshallMD
21732,"LAWSON, Alfred Jr.",117,House,RepAlLawsonJr
21731,"KUSTOFF, David",117,House,RepDavidKustoff
21730,"KRISHNAMOORTHI, S. Raja",117,House,CongressmanRaja
21728,"KHANNA, Rohit",117,House,RoKhanna
21727,"JOHNSON, Mike",117,House,RepMikeJohnson
21726,"JAYAPAL, Pramila",117,House,RepJayapal
21725,"HOLLINGSWORTH, Joseph Albert III",117,House,RepTrey
21724,"HIGGINS, Clay",117,House,RepClayHiggins
21723,"GOTTHEIMER, Josh S.",117,House,RepJoshG
21722,"GONZALEZ, Vicente Jr.",117,House,RepGonzalez
21720,"GALLAGHER, Michael",117,House,SenKatyG
21719,"GAETZ, Matthew L. II",117,House,RepMattGaetz
21718,"FITZPATRICK, Brian K.",117,House,RepBrianFitz
21717,"FERGUSON, Anderson Drew IV",117,House,RepDrewFerguson
21715,"ESPAILLAT, Adriano J.",117,House,RepEspaillat
21714,"DUNN, Neal Patrick",117,House,DrNealDunnFL2
21713,"DEMINGS, Valdez Butler",117,House,RepValDemings
21712,"CRIST, Charlie Joseph Jr.",117,House,CharlieCrist
21711,"CORREA, Jose Luis",117,House,RepLouCorrea
21710,"CHENEY, Liz",117,House,Liz_Cheney
21709,"CARBAJAL, Salud",117,House,RepCarbajal
21708,"BUDD, Theodore Paul",117,House,buddforcongress
21707,"BROWN, Anthony Gregory",117,House,
21706,"BLUNT ROCHESTER, Lisa",117,House,RepLBR
21705,"BIGGS, Andrew S.",117,House,RepAndyBiggsAZ
21704,"BERGMAN, John",117,House,RepJackBergman
21702,"BANKS, James E.",117,House,RepJimBanks
21701,"BACON, Donald J.",117,House,RepDonBacon
21700,"ARRINGTON, Jodey Cook",117,House,RepArrington
21566,"EVANS, Dwight",117,House,RepDwightEvans
21565,"COMER, James",117,House,JamesComer
21564,"DAVIDSON, Warren",117,House,WarrenDavidson
21563,"WESTERMAN, Bruce Eugene",117,House,RepWesterman
21562,"LaHOOD, Darin",117,House,RepLaHood
21561,"KELLY, Trent",117,House,RepTrentKelly
21559,"GROTHMAN, Glenn",117,House,RepGrothman
21557,"MOONEY, Alex X.",117,House,RepAlexMooney
21556,"NEWHOUSE, Daniel Milton",117,House,RepNewhouse
21554,"BEYER, Donald Sternoff Jr.",117,House,RepDonBeyer
21551,"BABIN, Brian",117,House,RepBrianBabin
21548,"BOYLE, Brendan Francis",117,House,CongBoyle
21545,"ADAMS, Alma",117,House,RepAdams
21544,"ROUZER, David",117,House,RepDavidRouzer
21542,"KATKO, John",117,House,RepJohnKatko
21541,"STEFANIK, Elise M",117,House,EliseStefanik
21540,"RICE, Kathleen Maura",117,House,RepKathleenRice
21539,"ZELDIN, Lee M",117,House,RepLeeZeldin
21538,"WATSON COLEMAN, Bonnie",117,House,RepBonnie
21536,"NORCROSS, Donald",117,House,DonaldNorcross
21531,"EMMER, Thomas Earl II",117,House,RepTomEmmer
21530,"LAWRENCE, Brenda L",117,House,RepLawrence
21529,"DINGELL, Debbie",117,House,RepDebDingell
21526,"MOOLENAAR, John",117,House,RepMoolenaar
21525,"MOULTON, Seth",117,House,sethmoulton
21523,"GRAVES, Garret",117,House,RepGarretGraves
21519,"BOST, Mike",117,House,RepBost
21516,"ALLEN, Rick W.",117,House,RepRickAllen
21515,"LOUDERMILK, Barry D.",117,House,RepLoudermilk
21514,"HICE, Jody Brownlow",117,House,CongressmanHice
21513,"CARTER, Buddy",117,House,
21510,"BUCK, Kenneth Robert",117,House,
21508,"TORRES, Norma Judith",117,House,NormaJTorres
21507,"LIEU, Ted",117,House,tedlieu
21506,"AGUILAR, Peter Rey",117,House,RepPeteAguilar
21504,"DESAULNIER, Mark James",117,House,RepDeSaulnier
21503,"HILL, French",117,House,RepFrenchHill
21502,"GALLEGO, Ruben",117,House,RubenGallego
21500,"PALMER, Gary James",117,House,USRepGaryPalmer
21375,"CLARK, Katherine M.",117,House,RepKClark
21373,"SMITH, Jason",117,House,RepJasonSmith
21372,"KILDEE, Dan",117,House,RepDanKildee
21371,"KELLY, Robin L.",117,House,RepRobinKelly
21370,"POCAN, Mark",117,House,repmarkpocan
21368,"KILMER, Derek",117,House,RepDerekKilmer
21367,"STEWART, Chris",117,House,RepChrisStewart
21366,"VELA, Filemon",117,House,RepFilemonVela
21365,"VEASEY, Marc",117,House,RepVeasey
21364,"WILLIAMS, Roger",117,House,RepRWilliams
21362,"CASTRO, Joaquin",117,House,JoaquinCastrotx
21360,"WEBER, Randy",117,House,TXRandy14
21359,"RICE, Tom",117,House,
21358,"CARTWRIGHT, Matt",117,House,RepCartwright
21356,"PERRY, Scott",117,House,
21355,"MULLIN, Markwayne",117,House,RepMullin
21353,"JOYCE, David",117,House,RepDaveJoyce
21352,"BEATTY, Joyce",117,House,RepBeatty
21351,"WENSTRUP, Brad",117,House,RepBradWenstrup
21350,"CRAMER, Kevin",117,Senate,SenKevinCramer
21346,"HUDSON, Richard",117,House,RepRichHudson
21344,"MALONEY, Sean Patrick",117,House,RepSeanMaloney
21343,"JEFFRIES, Hakeem",117,House,RepJeffries
21342,"MENG, Grace",117,House,RepGraceMeng
21340,"KUSTER, Ann McLane",117,House,RepAnnieKuster
21339,"HORSFORD, Steven",117,House,RepHorsford
21338,"DAINES, Steve",117,Senate,SteveDaines
21337,"WAGNER, Ann",117,House,EmbZambia
21333,"BARR, Garland H. (Andy) IV",117,House,RepAndyBarr
21330,"WALORSKI, Jackie",117,House,RepWalorski
21329,"BUSTOS, Cheri",117,House,RepCheri
21328,"DAVIS, Rodney",117,House,
21326,"SCHNEIDER, Brad",117,House,RepSchneider
21325,"DUCKWORTH, Tammy",117,Senate,SenDuckworth
21321,"FRANKEL, Lois",117,House,RepLoisFrankel
21315,"PETERS, Scott",117,House,RepScottPeters
21314,"VARGAS, Juan",117,House,RepJuanVargas
21313,"LOWENTHAL, Alan",117,House,RepLowenthal
21312,"TAKANO, Mark",117,House,RepMarkTakano
21311,"RUIZ, Raul",117,House,RepRaulRuizMD
21308,"BROWNLEY, Julia",117,House,RepBrownley
21307,"VALADAO, David G.",117,House,RepDavidValadao
21306,"SWALWELL, Eric",117,House,RepSwalwell
21304,"BERA, Ami",117,House,RepBera
21303,"HUFFMAN, Jared",117,House,RepHuffman
21302,"LaMALFA, Doug",117,House,RepLaMalfa
21301,"COTTON, Tom",117,Senate,SenTomCotton
21300,"SINEMA, Kyrsten",117,Senate,kyrstensinema
21198,"BONAMICI, Suzanne",117,House,RepBonamici
21196,"AMODEI, Mark E.",117,House,AmodeiForNevada
21193,"BROOKS, Mo",117,House,RepMoBrooks
21191,"GRIFFITH, H. Morgan",117,House,RepMGriffith
21188,"McKINLEY, David",117,House,RepMcKinley
21187,"HERRERA BEUTLER, Jaime",117,House,HerreraBeutler
21179,"DESJARLAIS, Scott",117,House,DesJarlaisTN04
21178,"FLEISCHMANN, Chuck",117,House,RepChuck
21174,"DUNCAN, Jeff",117,House,RepJeffDuncan
21173,"SCOTT, Tim",117,Senate,TimScottSC
21172,"CICILLINE, David N.",117,House,davidcicilline
21167,"KELLY, Mike",117,House,MikeKellyPA
21166,"LANKFORD, James",117,Senate,SenatorLankford
21165,"GIBBS, Bob",117,House,RepBobGibbs
21163,"STIVERS, Steve",117,House,RepSteveStivers
21162,"JOHNSON, Bill",117,House,
21150,"LONG, Billy",117,House,USRepLong
21149,"HARTZLER, Vicky",117,House,RepHartzler
21148,"PALAZZO, Steven",117,House,CongPalazzo
21142,"HUIZENGA, Bill",117,House,RepHuizenga
21140,"KEATING, William R.",117,House,WilliamKeating
21139,"HARRIS, Andy",117,House,RepAndyHarrisMD
21137,"RICHMOND, Cedric",117,House,RepRichmond
21133,"YOUNG, Todd",117,Senate,SenToddYoung
21132,"BUCSHON, Larry",117,House,RepLarryBucshon
21128,"KINZINGER, Adam",117,House,RepKinzinger
21123,"SCOTT, Austin",117,House,AustinScottGA08
21118,"WILSON, Frederica",117,House,RepWilson
21116,"WEBSTER, Daniel A.",117,House,RepWebster
21110,"BASS, Karen",117,House,
21108,"WOMACK, Steve",117,House,rep_stevewomack
21106,"CRAWFORD, Rick",117,House,RepRickCrawford
21105,"SCHWEIKERT, David",117,House,RepDavid
21103,"GOSAR, Paul",117,House,RepGosar
21102,"SEWELL, Terri",117,House,RepTerriSewell
21101,"REED, Thomas W. II",117,House,SenJackReed
20959,"DEUTCH, Theodore E. (Ted)",117,House,RepTedDeutch
20958,"GARAMENDI, John",117,House,RepGaramendi
20955,"CHU, Judy",117,House,RepJudyChu
20954,"QUIGLEY, Mike",117,House,RepMikeQuigley
20953,"LUMMIS, Cynthia M.",117,Senate,SenLummis
20952,"CONNOLLY, Gerald E. (Gerry)",117,House,GerryConnolly
20946,"THOMPSON, Glenn",117,House,fredthompson
20944,"SCHRADER, Kurt",117,House,RepSchrader
20941,"FUDGE, Marcia L.",117,House,RepMarciaFudge
20934,"TONKO, Paul",117,House,RepPaulTonko
20930,"HEINRICH, Martin",117,Senate,MartinHeinrich
20927,"TITUS, Alice (Dina)",117,House,repdinatitus
20926,"LUETKEMEYER, Blaine",117,House,RepBlaine
20923,"PETERS, Gary C.",117,Senate,SenGaryPeters
20920,"PINGREE, Chellie",117,House,chelliepingree
20919,"CASSIDY, Bill",117,Senate,SenBillCassidy
20916,"GUTHRIE, Brett",117,House,RepGuthrie
20909,"POSEY, Bill",117,House,congbillposey
20907,"HIMES, James A.",117,House,jahimes
20903,"McCLINTOCK, Tom",117,House,RepMcClintock
20902,"KIRKPATRICK, Ann",117,House,Ann_Kirkpatrick
20762,"SPEIER, Karen Lorraine Jacqueline (Jackie)",117,House,RepSpeier
20759,"SCALISE, Steve",117,House,SteveScalise
20758,"BILIRAKIS, Gus",117,House,RepGusBilirakis
20757,"CARSON, André",117,House,RepAndreCarson
20756,"WITTMAN, Robert J.",117,House,RobWittman
20755,"LATTA, Robert E.",117,House,boblatta
20750,"WELCH, Peter",117,House,PeterWelch
20749,"FOSTER, Bill",117,House,RepBillFoster
20748,"COHEN, Stephen",117,House,RepCohen
20738,"JORDAN, Jim",117,House,Jim_Jordan
20735,"GILLIBRAND, Kirsten",117,Senate,SenGillibrand
20733,"CLARKE, Yvette Diane",117,House,RepYvetteClarke
20729,"SMITH, Adrian",117,House,RepAdrianSmith
20725,"WALBERG, Tim",117,House,RepWalberg
20724,"SARBANES, John",117,House,RepSarbanes
20723,"YARMUTH, John",117,House,RepJohnYarmuth
20713,"HIRONO, Mazie",117,Senate,maziehirono
20712,"JOHNSON, Hank",117,House,RepHankJohnson
20709,"BUCHANAN, Vernon G.",117,House,VernBuchanan
20708,"CASTOR, Kathy",117,House,USRepKCastor
20707,"MURPHY, Christopher",117,Senate,ChrisMurphyCT
20706,"COURTNEY, Joe",117,House,RepJoeCourtney
20705,"PERLMUTTER, Ed",117,House,RepPerlmutter
20704,"LAMBORN, Doug",117,House,RepDLamborn
20703,"MCCARTHY, Kevin",117,House,GOPLeader
20702,"McNERNEY, Jerry",117,House,RepMcNerney
20542,"SIRES, Albio",117,House,RepSires
20538,"MATSUI, Doris",117,House,DorisMatsui
20537,"MOORE, Gwendolynne S. (Gwen)",117,House,RepGwenMoore
20535,"McMORRIS RODGERS, Cathy",117,House,
20533,"CUELLAR, Henry",117,House,RepCuellar
20530,"McCAUL, Michael T.",117,House,RepMcCaul
20529,"GREEN, Al",117,House,RepAlGreen
20527,"GOHMERT, Louie",117,House,replouiegohmert
20522,"McHENRY, Patrick T.",117,House,PatrickMcHenry
20521,"FOXX, Virginia Ann",117,House,virginiafoxx
20519,"HIGGINS, Brian",117,House,RepBrianHiggins
20518,"FORTENBERRY, Jeff",117,House,JeffFortenberry
20517,"CLEAVER, Emanuel, II",117,House,repcleaver
20504,"WASSERMAN SCHULTZ, Debbie",117,House,DWStweets
20501,"COSTA, Jim",117,House,RepJimCosta
20356,"CARTER, John R.",117,House,
20355,"BURGESS, Michael C.",117,House,RepBurgessOwens
20351,"BLACKBURN, Marsha",117,Senate,MarshaBlackburn
20344,"COLE, Tom",117,House,TomColeOK04
20343,"RYAN, Timothy J.",117,House,
20342,"TURNER, Michael R.",117,House,RepMikeTurner
