icpsr,bioname,congress,chamber,twitter
20950,"NYE, Glenn C., III",111,House,GlennNye
20945,"DAHLKEMPER, Kathleen A. (Kathy)",111,House,
20942,"KILROY, Mary Jo",111,House,
20939,"DRIEHAUS, Steve",111,House,
20937,"MASSA, Eric J.J.",111,House,
20933,"McMAHON, Michael E.",111,House,
20931,"TEAGUE, Harry",111,House,
20928,"ADLER, John H.",111,House,
20922,"SCHAUER, Mark H.",111,House,
20917,"CAO, Anh (Joseph)",111,House,
20913,"HALVORSON, Deborah L.",111,House,
20912,"MINNICK, Walt",111,House,
20905,"MARKEY, Betsy",111,House,
20901,"GRIFFITH, Parker",111,House,
20900,"BRIGHT, Bobby Neal, Sr.",111,House,
20761,"CHILDERS, Travis W.",111,House,
20751,"KAGEN, Steven",111,House,
20746,"CARNEY, Chris",111,House,
20745,"MURPHY, Patrick",111,House,PatrickMurphyPA
20744,"SESTAK, Joe",111,House,JoeSestak
20742,"FALLIN, Mary",111,House,GovMaryFallin
20741,"SPACE, Zack",111,House,ZackSpaceOhio
20739,"WILSON, Charlie",111,House,
20736,"ARCURI, Michael",111,House,
20734,"HALL, John",111,House,
20732,"HODES, Paul",111,House,
20718,"ELLSWORTH, Brad",111,House,
20716,"HARE, Phil",111,House,
20711,"KLEIN, Ron",111,House,
20700,"MITCHELL, Harry E.",111,House,
20513,"MELANCON, Charles J.",111,House,
20509,"BEAN, Melissa L.",111,House,
20502,"SALAZAR, John",111,House,
20358,"MEEK, Kendrick B.",111,House,
20350,"DAVIS, Lincoln",111,House,
20347,"BARRETT, James Gresham",111,House,
20317,"MARSHALL, Jim",111,House,
20302,"DAVIS, Artur",111,House,ArturDavis
20137,"BROWN, Henry Edward, Jr.",111,House,
20113,"PUTNAM, Adam",111,House,
20106,"WATSON, Diane Edith",111,House,
20105,"SOLIS, Hilda L.",111,House,HildaSolis
15637,"TAYLOR, Gary Eugene (Gene)",111,House,
15628,"TANNER, John S.",111,House,
15501,"BOND, Christopher Samuel (Kit)",111,Senate,
15406,"BUNNING, James Paul David",111,Senate,
15245,"ABERCROMBIE, Neil",111,House,neilabercrombie
15100,"GORDON, Barton Jennings",111,House,
15064,"SPRATT, John McKee, Jr.",111,House,
15049,"ORTIZ, Solomon P.",111,House,
15010,"BOUCHER, Frederick C.",111,House,
14910,"SPECTER, Arlen",111,Senate,SenArlenSpecter
14826,"GREGG, Judd Alan",111,Senate,
14812,"DORGAN, Byron Leslie",111,Senate,ByronDorgan
14451,"SKELTON, Isaac Newton, IV (Ike)",111,House,
14265,"OBERSTAR, James Louis",111,House,JimOberstar
14213,"DODD, Christopher John",111,Senate,SenChrisDodd
14101,"BIDEN, Joseph Robinette, Jr.",111,Senate,JoeBiden
12036,"OBEY, David Ross",111,House,
10808,"KENNEDY, Edward Moore (Ted)",111,Senate,
1366,"BYRD, Robert Carlyle",111,Senate,
99910,"BUSH, George Walker",110,President,TheBushCenter
89767,"GOODE, Virgil H., Jr.",110,House,
49705,"SMITH, Gordon Harold",110,Senate,
49704,"HAGEL, Charles Timothy (Chuck)",110,Senate,
40502,"OBAMA, Barack",110,Senate,BarackObama
40303,"DOLE, Elizabeth Hanford",110,Senate,DoleFoundation
40302,"COLEMAN, Norm",110,Senate,
29930,"JONES, Stephanie Tubbs",110,House,
29929,"HAYES, Robert (Robin)",110,House,
29928,"REYNOLDS, Thomas M.",110,House,
29779,"WILSON, Heather",110,House,
29766,"CANNON, Christopher B.",110,House,
29761,"LAMPSON, Nicholas V.",110,House,
29751,"PETERSON, John",110,House,
29750,"HOOLEY, Darlene",110,House,
29740,"SUNUNU, John E.",110,Senate,JohnSununu
29737,"HULSHOF, Kenny",110,House,
29734,"PICKERING, Charles W. (Chip), Jr.",110,House,
29728,"ALLEN, Thomas H.",110,House,
29720,"CARSON, Julia May",110,House,
29576,"DAVIS, Thomas M., III",110,House,
29563,"ENGLISH, Philip Sheridan",110,House,
29517,"LaHOOD, Ray H.",110,House,
29516,"WELLER, Gerald C. (Jerry)",110,House,
29513,"NORWOOD, Charles W., Jr.",110,House,
29509,"WELDON, David Joseph",110,House,
29390,"PRYCE, Deborah D.",110,House,
29358,"MEEHAN, Martin Thomas",110,House,
29355,"WYNN, Albert Russell",110,House,
29352,"LEWIS, Ron",110,House,
29300,"EVERETT, Robert Terry",110,House,
29136,"HOBSON, David Lee",110,House,
29122,"GILCHREST, Wayne Thomas",110,House,
29120,"JEFFERSON, William Jennings",110,House,
29108,"ALLARD, A. Wayne",110,Senate,
29104,"DOOLITTLE, John Taylor",110,House,
29100,"CRAMER, Robert E. (Bud), Jr.",110,House,
20747,"DAVIS, David",110,House,
20721,"BOYDA, Nancy",110,House,
20714,"SALI, William",110,House,
20710,"MAHONEY, Tim",110,House,
20534,"DRAKE, Thelma D.",110,House,
20520,"KUHL, John R. (Randy), Jr.",110,House,
20512,"JINDAL, Bobby",110,House,BobbyJindal
20334,"PORTER, Jon C.",110,House,
20323,"EMANUEL, Rahm",110,House,RahmEmanuel
20315,"FEENEY, Tom",110,House,
20311,"MUSGRAVE, Marilyn N",110,House,
20303,"RENZI, Rick",110,House,
20141,"DAVIS, Jo Ann",110,House,
20127,"FERGUSON, Michael",110,House,
20112,"KELLER, Richard (Ric)",110,House,
15633,"THOMAS, Craig Lyle",110,Senate,
15630,"WALSH, James T.",110,House,
15614,"McNULTY, Michael Robert",110,House,
15449,"SHAYS, Christopher H.",110,House,
15401,"BAKER, Richard Hugh",110,House,
15112,"SAXTON, Hugh James",110,House,
14837,"LANTOS, Thomas Peter",110,House,
14835,"HUNTER, Duncan Lee",110,House,
14809,"CRAIG, Larry Edwin",110,Senate,
14712,"WARNER, John William",110,Senate,
14103,"DOMENICI, Pete Vichi",110,Senate,
14045,"REGULA, Ralph Straus",110,House,
14031,"LOTT, Chester Trent",110,Senate,
12109,"STEVENS, Theodore Fulton (Ted)",110,Senate,
94240,"JEFFORDS, James Merrill",109,Senate,
49905,"CHAFEE, Lincoln Davenport",109,Senate,LincolnChafee
49502,"FRIST, William H.",109,Senate,bfrist
40101,"DAYTON, Mark",109,Senate,GovMarkDayton
39302,"BONILLA, Henry",109,House,
29941,"GREEN, Mark",109,House,
29933,"SHERWOOD, Don",109,House,
29927,"SWEENEY, John E.",109,House,
29756,"FORD, Harold, Jr.",109,House,
29755,"JENKINS, William Lewis",109,House,
29747,"STRICKLAND, Ted",109,House,Ted_Strickland
29739,"GIBBONS, James A.",109,House,
29723,"RYUN, Jim",109,House,
29714,"DAVIS, Jim",109,House,
29552,"NEY, Robert William",109,House,
29544,"KELLY, Sue W.",109,House,
29532,"GUTKNECHT, Gilbert W.",109,House,
29510,"FOLEY, Mark A.",109,House,
29502,"HAYWORTH, John D., Jr.",109,House,
29392,"ISTOOK, Ernest James, Jr.",109,House,
29369,"TALENT, James Matthes",109,Senate,JimTalent
29344,"McKINNEY, Cynthia Ann",109,House,
29311,"POMBO, Richard William",109,House,
29148,"ALLEN, George",109,Senate,
29141,"SANTORUM, Richard John (Rick)",109,Senate,RickSantorum
29135,"TAYLOR, Charles Hart",109,House,
29118,"NUSSLE, James Allen",109,House,
29107,"CUNNINGHAM, Randall (Duke)",109,House,
20515,"SCHWARZ, John J. H. (Joe)",109,House,
20335,"BRADLEY, Jeb",109,House,
20324,"CHOCOLA, Chris",109,House,
20314,"HARRIS, Katherine",109,House,
20133,"HART, Melissa A.",109,House,
20126,"OSBORNE, Thomas",109,House,
20121,"KENNEDY, Mark",109,House,
20114,"OTTER, C. L. (Butch)",109,House,
20109,"SIMMONS, Robert (Rob)",109,House,
15701,"BURNS, Conrad",109,Senate,
15601,"COX, Charles Christopher",109,House,
15447,"WELDON, Wayne Curtis (Curt)",109,House,
15105,"KOLBE, James Thomas",109,House,
15094,"DeLAY, Thomas Dale",109,House,
15050,"OWENS, Major Robert Odell",109,House,
15028,"JOHNSON, Nancy Lee",109,House,
15023,"EVANS, Lane Allen",109,House,
15020,"DeWINE, Michael",109,Senate,GovMikeDeWine
15007,"BOEHLERT, Sherwood Louis",109,House,
15006,"BILIRAKIS, Michael",109,House,
14875,"OXLEY, Michael Garver",109,House,
14860,"SHAW, Eugene Clay, Jr.",109,House,
14669,"THOMAS, William Marshall",109,House,
14656,"SABO, Martin Olav",109,House,
14432,"LEACH, James Albert Smith",109,House,
14239,"HYDE, Henry John",109,House,
13039,"SARBANES, Paul Spyros",109,Senate,
99909,"CLINTON, William Jefferson (Bill)",106,President,billclinton
99908,"BUSH, George Herbert Walker",102,President,GeorgeHWBush
